,input_angle,input_prheo,pspikenorm_ctr,fitgausspspikenorm_ctr,pspikenorm_fdE0,fitgausspspikenorm_fdE0,pspikenorm_ctrE0,fitgausspspikenorm_ctrE0,pspikenorm_fd,fitgausspspikenorm_fd
159,69,0.8288378352558344,0.05673317469329472,0.07962870925168633,0.10036348489468633,0.1306231938635127,0.12637237815231958,0.15768466979014625,0.19839708442276918,0.22609912337473803
160,70,0.8268470040987698,0.0514426763343439,0.07395810995363922,0.09243147439155122,0.12308695484062881,0.11728357145513335,0.14940615791744583,0.1869783514432385,0.21649470603407367
161,71,0.8248324134207435,0.04656101387046378,0.06861835357687483,0.08497511086731081,0.11588638467549853,0.10867131821941946,0.14145246824564284,0.17597179302976873,0.20716884148771825
162,72,0.8227942603569814,0.042066737368288754,0.0635964896462775,0.07798145803412791,0.10901379514960227,0.10052766609854799,0.1338183189286012,0.16538175347095252,0.1981209254077811
163,73,0.8207327440018678,0.037938347100254156,0.05887953303254538,0.07143637241251251,0.10246113491815854,0.09284317077218986,0.12649798778454158,0.1552110051740659,0.1893498704450746
164,74,0.8186480653765826,0.03415445033183753,0.05445451961074318,0.06532466297042362,0.09622003773456388,0.0856070270519778,0.11948535332182227,0.14546077260591206,0.18085412997584482
165,75,0.8165404273964865,0.030693904229094744,0.05030855771243101,0.05963025228375917,0.09028186910117543,0.07880720650764862,0.11277393504190647,0.1361307681105016,0.1726317222062338
166,76,0.8144100348382606,0.027535944171158004,0.046428875367733886,0.054336337124035516,0.08463777120913436,0.07243059964296052,0.1063569328767339,0.1272192390434382,0.16468025453038562
167,77,0.8122570943068096,0.024660297054608853,0.0428028633640888,0.04942554648732231,0.0792787060481503,0.06646316065926643,0.1002272656301402,0.11872302550387122,0.15699694804166317
168,78,0.8100818142019337,0.022047279461181495,0.03941811417628123,0.04488009522240647,0.0741954965850666,0.06089005289279018,0.0943776083054918,0.11063762780095422,0.14957866210032705
169,79,0.8078844046847785,0.019677880821559374,0.03626245684768952,0.04068193159032799,0.0693788659274933,0.055695793096386274,0.08880042821423399,0.10295728266601527,0.1424219188652089
170,80,0.8056650776440694,0.01753383194180369,0.0333239879253608,0.03681287728584134,0.06481947440572303,0.05086439285392003,0.08348801977250056,0.09567504711666386,0.1355229277013509
171,81,0.8034240466621394,0.015597659462154015,0.030591098571637998,0.0332547586676288,0.06050795452244373,0.046379495560695275,0.07843253790522932,0.08878288879682682,0.12887760938024168
172,82,0.8011615269807558,0.013852726988734172,0.028052497992565043,0.029989528171680865,0.05643494373535154,0.04222450757130799,0.07362602998928625,0.08227178155848622,0.12248161999412936
173,83,0.7988777354667566,0.012283263776422571,0.025697233338262217,0.02699937511477314,0.05259111505257341,0.038382722301379846,0.06906046627886413,0.07613180501737249,0.11633037451088656
174,84,0.7965728905774991,0.010874381946134855,0.02351470624295274,0.0242668253262559,0.048967205434777825,0.034837436266060035,0.064727768767819,0.0703522468058738,0.11041906990101841
175,85,0.7942472123261359,0.00961208329331278,0.021494686182422538,0.021774829270898167,0.045554042010930836,0.031572056240451854,0.060619838454589806,0.06492170626135317,0.10474270777360033
176,86,0.7919009222467175,0.008483256788479797,0.019627320834512994,0.0195068385382813,0.042342566126808596,0.028570196929792055,0.056728580985861685,0.05982819832542268,0.09929611646317722
177,87,0.7895342433591365,0.0074756678879273775,0.01790314363389867,0.017446870771116518,0.039323855256577736,0.02581576873546443,0.05304593066514005,0.055059256487755864,0.09407397251492222
178,88,0.7871474001339164,0.006577940765910138,0.016313078716021116,0.015579563282480918,0.03648914281798404,0.023293055392343765,0.04956387282186539,0.050602033684252076,0.08907082152060612
179,89,0.7847406184568553,0.005779534552435215,0.014848443446775548,0.01389021576791146,0.033829835940938836,0.020986781429895924,0.04627446454558582,0.046443400151176796,0.08428109826314224
180,90,0.7823141255935305,0.005070714616201047,0.013500948734527504,0.012364822650950654,0.03133753124756266,0.018882169570878113,0.043169853797996975,0.042570037341262336,0.07969914613262237
